bbl,units,zonedistadj,parktype,reqspaces,waiverspaces,lat,long
1004207501,54.0,R7-2,not required,0,0,40.7200323,-73.99165073
1004710015,5.0,C6-2G,not required,0,0,40.72017416,-73.99720576
1016390027,30.0,R7-2,required - high density,15,0,40.79537356,-73.94330405
1017160051,39.0,R7-2,required - high density,20,0,40.79596603,-73.9321605
1016767505,8.0,R7-2,required - high density,4,0,40.78878391,-73.94105396
1005867502,5.0,R7-2,not required,0,0,40.73098916,-74.00398987
1016330020,37.0,R7-2,required - high density,19,0,40.79166542,-73.94633636
1020457505,14.0,R8,required - high density,6,0,40.82388267,-73.94183275
1006957510,6.0,R9A,not required,0,0,40.74890834,-74.00632494
1017860045,4.0,R7A,required - high density,1,0,40.80130916,-73.93677343
1019160154,2.0,R7-2,required - high density,1,0,40.81281858,-73.94425595
1006370051,6.0,R8,not required,0,0,40.73507789,-74.00966946
1016440041,1.0,R7A,required - high density,0,0,40.79871947,-73.94012773
1001060002,3.0,R8A,not required,0,0,40.70884011,-74.00113779
1013227502,76.0,R10,not required,0,0,40.75419321,-73.96942678
1002197505,7.0,R8A,not required,0,0,40.7224993,-74.00875444
1019130038,13.0,R7-2,required - high density,7,0,40.81041792,-73.94431989
1015157504,6.0,R10,not required,0,0,40.78059919,-73.95640391
1008810060,8.0,R8,not required,0,0,40.74113366,-73.98306871
1019537502,11.0,R7-2,required - high density,6,0,40.81197239,-73.95290168
1004380018,11.0,R7-2,not required,0,0,40.72872072,-73.98301921
1016817503,35.0,R7A,required - high density,11,0,40.79204715,-73.93937586
1022380014,22.0,R7-2,required - high density,11,0,40.86748162,-73.92407795
1019280005,6.0,R7A,required - high density,2,0,40.80819377,-73.95195563
1017090015,13.0,R7B,required - high density,7,2,40.79495528,-73.93452785
1018487504,4.0,R7A,required - high density,1,0,40.80381042,-73.95653431
1000537502,440.0,R10,not required,0,0,40.70920606,-74.01367584
1008330040,1.0,R10,not required,0,0,40.74682312,-73.98611576
1016600024,16.0,R8A,required - high density,6,0,40.79360172,-73.9406735
1018250043,21.0,R7-2,required - high density,11,0,40.80222315,-73.95088113
1004610003,21.0,R7-2,not required,0,0,40.72777666,-73.99083207
1001007502,898.0,R10,not required,0,0,40.71089908,-74.00561058
1004127501,295.0,R7-2,not required,0,0,40.72174725,-73.98801401
1003030015,106.0,C6-1G,not required,0,0,40.71704218,-73.99515752
1017720009,50.0,R7-2,required - high density,15,0,40.80349251,-73.93890229
1019537503,12.0,R7-2,required - high density,6,0,40.81200034,-73.95298085
1002847504,20.0,R7-2,not required,0,0,40.71379366,-73.98906872
1003787501,30.0,R8A,not required,0,0,40.72398816,-73.97633794
1020067501,15.0,R7-2,required - high density,8,0,40.81619564,-73.94037089
1020077502,17.0,R7-2,required - high density,9,0,40.81751522,-73.94164251
1004067503,11.0,R8B,not required,0,0,40.72890245,-73.97939905
